ID,RED,IR,RED 4xS,IR 4xS
1,232788,247429,233050,247946
2,233333,248124,233197,248227
3,232916,248076,233197,248347
4,233161,248153,233304,248541
5,233377,248555,233357,248699
6,233333,248605,233201,248473
7,233344,248849,232800,247682
8,233373,248785,232329,246656
9,232755,247654,231872,245695
10,231726,245441,231606,245076
11,231460,244743,231614,245043
12,231546,244943,231743,245288
13,231690,245177,231860,245535
14,231759,245307,231945,245750
15,231975,245723,232028,245958
16,232015,245934,232064,246121
17,232031,246037,232133,246318
18,232091,246138,232231,246558
19,232119,246373,232318,246856
20,232291,246723,232424,247134
21,232421,246997,232481,247376
22,232442,247329,232539,247595
23,232541,247486,232617,247768
24,232519,247692,232682,247925
25,232655,247874,232776,248089
26,232753,248021,232851,248262
27,232802,248112,232901,248411
28,232894,248349,232926,248575
29,232955,248564,232935,248694
30,232952,248618,232911,248805
31,232902,248769,232947,248980
32,232929,248824,232932,249011
33,232861,249010,232734,248644
34,233096,249317,232409,247905
35,232842,248894,232065,247138
36,232136,247354,231830,246556
37,231562,246053,231793,246382
38,231721,246252,231895,246598
39,231901,246565,231958,246805
40,231989,246658,231994,246962
41,231969,246915,232072,247139
42,231971,247081,232166,247299
43,232045,247192,232201,247414
44,232302,247369,232296,247563
45,232345,247553,232352,247783
46,232110,247540,232319,247852
47,232427,247791,232470,248071
48,232526,248246,232450,248207
49,232212,247831,232444,248232
50,232714,248414,232594,248483
51,232348,248337,232546,248574
52,232501,248344,232605,248681
53,232813,248836,232676,248844
54,232522,248779,232685,248948
55,232585,248764,232728,249015
56,232784,248996,232843,249218
57,232848,249253,232878,249298
58,232696,249045,232875,249223
59,233043,249579,232658,248722
60,232925,249316,232280,247840
61,232834,248950,231975,247131
62,231828,247044,231718,246556
63,231531,246048,231736,246509
64,231705,246483,231824,246739
65,231806,246649,231912,246919
66,231902,246854,231916,247036
67,231881,246969,231950,247141
68,232059,247203,232020,247288
69,231820,247116,232042,247418
70,232039,247275,232168,247621
71,232161,247556,232263,247840
72,232148,247724,232328,248024
73,232324,247927,232359,248144
74,232417,248151,232391,248302
75,232421,248293,232417,248440
76,232273,248205,232430,248521
77,232453,248559,232512,248678
78,232522,248702,232549,248788
79,232473,248617,232584,248878
80,232600,248832,232644,249027
81,232599,248999,232663,249128
82,232662,249062,232707,249225
83,232716,249214,232727,249227
84,232675,249237,232519,248772
85,232774,249388,232205,248076
86,232743,249069,231887,247365
87,231883,247395,231630,246804
88,231420,246450,231609,246714
89,231503,246547,231683,246914
90,231712,246824,231765,247117
91,231802,247036,231858,247304
92,231715,247247,231843,247420
93,231831,247360,231882,247500
94,232083,247573,231979,247659
95,231743,247499,231989,247784
96,231872,247569,232042,247910
97,232217,247993,232124,248081
98,232124,248076,232184,248258
99,231955,248002,232195,248345
100,232200,248252,232244,248453
101,232456,248700,232360,248619
102,232169,248426,232270,248603
103,232152,248435,232424,248773
104,232663,248913,232431,248868
105,232096,248636,232426,248964
106,232785,249108,232557,249164
107,232180,248816,232410,249073
108,232641,249297,232287,248664
109,232623,249433,231969,247947
110,232197,248747,231649,247235
111,231685,247179,231470,246727
112,231369,246427,231435,246673
113,231343,246586,231483,246897
114,231481,246716,231597,247102
115,231547,246964,231670,247310
116,231559,247320,231711,247435
117,231802,247409,231799,247520
118,231770,247545,231828,247661
119,231712,247464,231878,247792
120,231912,247662,231942,247973
121,231919,247972,232012,248155
122,231969,248070,232077,248276
123,231966,248187,232120,248401
124,232195,248389,232175,248519
125,232179,248459,232174,248604
126,232138,248567,232218,248735
127,232188,248662,232282,248855
128,232189,248728,232296,248948
129,232357,248983,232340,249091
130,232395,249045,232382,249195
131,232242,249034,232378,249281
132,232364,249301,232414,249386
133,232525,249401,232381,249250
134,232381,249389,232096,248676
135,232386,249451,231783,247990
136,232230,248760,231551,247400
137,231388,247104,231355,246985
138,231126,246644,231356,246992
139,231459,247093,231469,247199
140,231445,247097,231538,247328
141,231395,247133,231602,247479
142,231577,247471,231670,247631
143,231735,247612,231677,247714
144,231701,247700,231735,247882
145,231667,247739,231727,248030
146,231606,247805,231875,248244
147,231966,248283,231913,248420
148,231668,248293,231986,248525
149,232258,248593,232037,248636
150,231758,248509,232015,248662
151,232258,248704,232109,248843
152,231873,248736,232074,248893
153,232169,248699,232218,249087
154,232134,249231,232193,249159
155,232119,248905,232295,249252
156,232448,249511,232283,249328
157,232071,248987,232328,249345
158,232541,249603,232379,249545
159,232072,249212,232227,249302
160,232629,249576,232076,248877
161,232275,249787,231673,248206
162,231933,248633,231468,247571
163,231466,247510,231350,247270
164,231016,246892,231313,247235
165,231456,247248,231435,247413
166,231463,247428,231489,247556
167,231317,247373,231538,247659
168,231504,247604,231612,247789
169,231670,247818,231684,247904
170,231662,247839,231721,248020
171,231613,247893,231759,248171
172,231790,248067,231813,248317
173,231820,248282,231854,248454
174,231812,248442,231907,248595
175,231830,248478,231947,248697
176,231955,248614,231998,248805
177,232031,248847,232028,248909
178,231972,248847,232072,248986
179,232032,248910,232114,249107
180,232075,249032,232180,249222
181,232209,249156,232226,249325
182,232140,249329,232254,249454
183,232294,249369,232292,249542
184,232261,249446,232298,249631
185,232321,249672,232270,249632
186,232292,249682,232060,249192
187,232319,249725,231774,248536
188,232147,249447,231497,247924
189,231481,247915,231310,247460
190,231148,247055,231289,247372
191,231213,247277,231366,247538
192,231396,247592,231445,247736
193,231400,247563,231464,247813
194,231453,247721,231506,247909
195,231530,248066,231520,248006
196,231474,247903,231548,248077
197,231566,247945,231666,248261
198,231509,248111,231677,248439
199,231644,248347,231785,248587
200,231946,248642,231865,248744
201,231610,248654,231854,248836
202,231940,248703,231924,248933
203,231962,248976,231932,249058
204,231905,249009,231956,249137
205,231888,249045,231990,249210
206,231974,249203,232046,249304
207,232055,249289,232087,249374
208,232043,249302,232133,249451
209,232110,249421,232221,249597
210,232140,249482,232209,249637
211,232238,249599,232009,249296
212,232397,249885,231777,248706
213,232060,249583,231465,248064
214,231339,248116,231229,247512
215,231310,247241,231210,247361
216,231149,247315,231247,247488
217,231118,247374,231290,247639
218,231263,247514,231362,247753
219,231459,247749,231414,247843
220,231319,247919,231442,247934
221,231407,247831,231518,248008
222,231471,247872,231580,248148
223,231571,248113,231635,248304
224,231624,248215,231696,248443
225,231655,248393,231728,248565
226,231688,248493,231756,248664
227,231818,248669,231790,248748
228,231750,248706,231833,248835
229,231768,248787,231896,248932
230,231822,248830,231944,249024
231,231990,249016,232005,249132
232,232004,249094,232035,249235
233,231960,249154,232063,249351
234,232066,249262,232106,249461
235,232110,249428,232101,249534
236,232114,249559,231936,249219
237,232132,249595,231612,248541
238,232048,249554,231283,247792
239,231448,248169,231015,247129
240,230819,246846,230911,246867
241,230818,246598,230976,246962
242,230973,246903,231062,247167
243,231034,247122,231138,247328
244,231077,247225,231182,247422
245,231162,247417,231244,247554
246,231277,247547,231308,247699
247,231210,247500,231352,247835
248,231326,247753,231447,248056
249,231417,247997,231520,248230
250,231455,248091,231550,248325
251,231590,248381,231613,248453
252,231617,248450,231648,248541
253,231536,248379,231636,248599
254,231710,248601,231695,248718
255,231730,248732,231770,248844
256,231568,248683,231823,248980
257,231772,248855,231901,249112
258,232008,249107,231911,249202
259,231943,249276,231899,249285
260,231881,249210,231945,249342
261,231813,249214,231837,249131
262,231958,249441,231574,248522
263,232127,249504,231199,247738
264,231450,248363,230862,247054
265,230760,246778,230749,246714
266,230460,246307,230807,246818
267,230776,246767,230951,247092
268,231000,247003,231011,247257
269,230992,247196,231046,247378
270,231035,247401,231075,247472
271,231017,247429,231125,247603
272,231139,247484,231203,247752
273,231109,247572,231276,247936
274,231234,247927,231332,248128
275,231331,248026,231355,248228
276,231429,248220,231381,248321
277,231335,248339,231398,248420
278,231326,248327,231433,248502
279,231433,248398,231493,248622
280,231499,248615,231534,248755
281,231474,248666,231548,248832
282,231565,248808,231590,248958
283,231598,248929,231622,249056
284,231553,248923,231648,249106
285,231642,249172,231511,248798
286,231696,249198,231225,248132
287,231701,249132,230950,247493
288,231005,247688,230733,246984
289,230499,246511,230659,246818
290,230594,246641,230766,247044
291,230833,247097,230872,247320
292,230710,247022,230911,247451
293,230928,247417,230994,247591
294,231017,247742,231023,247683
295,230987,247622,231070,247756
296,231045,247582,231161,247906
297,231043,247784,231212,248070
298,231206,248036,231282,248234
299,231350,248222,231365,248379
300,231247,248239,231368,248473
301,231323,248439,231421,248572
302,231541,248615,231461,248697
303,231359,248597,231471,248800
304,231462,248635,231545,248930
305,231480,248940,231599,249078
306,231582,249028,231638,249157
307,231656,249116,231688,249240
308,231677,249226,231743,249362
309,231638,249258,231689,249300
310,231779,249360,231459,248717
311,231879,249603,231127,247927
312,231459,248979,230721,247084
313,230717,246927,230448,246402
314,230452,246200,230460,246353
315,230257,246231,230429,246431
316,230364,246249,230631,246718
317,230765,246730,230660,246831
318,230328,246514,230739,247024
319,231065,247377,230817,247143
320,230481,246703,230841,247288
321,231083,247503,230946,247505
322,230637,246989,231008,247701
323,231161,247957,231115,248007
324,230903,247570,231156,248048
325,231332,248289,231288,248316
