ID,RED,IR,RED 4xS,IR 4xS
1,232899,245349,233041,245453
2,232883,245345,233151,245604.25
3,233017,245427,233225,245730.25
4,233366,245691,233253,245800.25
5,233339,245954,233199,245758.5
6,233178,245849,233138,245591.75
7,233128,245707,233083,245404.75
8,233151,245524,232945,245170.25
9,233094,245287,232758,244934.5
10,232960,245101,232649,244786.25
11,232576,244769,232630,244723.5
12,232401,244581,232683,244772
13,232657,244694,232751,244847.5
14,232884,244850,232754,244905.25
15,232791,244963,232726,244930.75
16,232673,244883,232778,244968.25
17,232667,244925,232884,245119.25
18,232772,244952,232970,245245
19,233001,245113,232969,245346
20,233094,245487,232962,245358.25
21,233014,245428,232906,245303
22,232766,245356,232871,245304.75
23,232975,245162,232938,245334
24,232868,245266,232921,245415.25
25,232874,245435,232912,245442.5
26,233035,245473,232942,245452
27,232908,245487,232964,245467
28,232831,245375,232991,245530
29,232992,245473,232950,245470.5
30,233125,245533,232822,245287
31,233016,245739,232678,245062.25
32,232667,245137,232498,244765
33,232480,244739,232383,244569.25
34,232549,244634,232389,244510.25
35,232295,244550,232387,244528.5
36,232208,244354,232417,244547
37,232502,244503,232465,244607.25
38,232541,244707,232504,244684.25
39,232415,244624,232521,244751.25
40,232402,244595,232561,244845.5
41,232658,244811,232593,244943.75
42,232607,244975,232625,245029.25
43,232577,245001,232644,245079.75
44,232530,244988,232657,245141.75
45,232785,245153,232728,245205.75
46,232684,245177,232749,245260.5
47,232629,245249,232769,245338.75
48,232813,245244,232788,245387.75
49,232871,245372,232776,245452.75
50,232764,245490,232753,245519.25
51,232703,245445,232750,245546
52,232767,245504,232744,245567
53,232778,245638,232683,245473.75
54,232750,245597,232598,245269
55,232679,245529,232475,245012.5
56,232525,245131,232353,244734.75
57,232438,244819,232308,244610.75
58,232256,244571,232278,244597.25
59,232193,244418,232288,244629
60,232345,244635,232374,244752.75
61,232319,244765,232430,244863
62,232296,244698,232481,244971.5
63,232534,244913,232507,245088.75
64,232570,245076,232513,245181.75
65,232525,245199,232519,245254.75
66,232397,245167,232565,245343.5
67,232559,245285,232652,245447
68,232596,245368,232663,245530
69,232708,245554,232686,245594
70,232743,245581,232641,245604.5
71,232603,245617,232612,245605.75
72,232691,245624,232629,245619.25
73,232525,245596,232644,245666.5
74,232628,245586,232722,245780.5
75,232673,245671,232781,245934.25
76,232749,245813,232819,246038.75
77,232839,246052,232735,245924.75
78,232864,246201,232545,245587.75
79,232824,246089,232341,245163
80,232413,245357,232173,244763.5
81,232079,244704,232123,244576.75
82,232046,244502,232168,244591.5
83,232152,244491,232266,244677.5
84,232214,244610,232346,244820.25
85,232259,244763,232371,244937.5
86,232440,244846,232399,244975.25
87,232470,245062,232356,244998.25
88,232316,245079,232370,245049.5
89,232371,244914,232442,245083.25
90,232268,244938,232523,245221.5
91,232525,245267,232587,245372.25
92,232603,245214,232639,245458.75
93,232697,245467,232663,245535.25
94,232524,245541,232667,245572.5
95,232732,245613,232742,245600
96,232699,245520,232755,245634
97,232714,245616,232793,245708
98,232824,245651,232853,245774.5
99,232784,245749,232876,245866.75
100,232851,245816,232887,245935
101,232954,245882,232864,245934
102,232914,246020,232752,245775.5
103,232827,246022,232578,245439
104,232760,245812,232403,245052.5
105,232505,245248,232214,244691
106,232221,244674,232087,244507.5
107,232125,244476,232066,244484.25
108,232006,244366,232084,244538.25
109,231995,244514,232103,244636.5
110,232139,244581,232141,244693
111,232194,244692,232152,244753.5
112,232085,244759,232164,244794.5
113,232147,244740,232225,244862.75
114,232180,244823,232279,244984
115,232245,244856,232334,245132.5
116,232328,245032,232380,245286.25
117,232363,245225,232418,245412.75
118,232399,245417,232481,245514.5
119,232428,245471,232553,245604.25
120,232480,245538,232619,245703.75
121,232617,245632,232681,245785.25
122,232685,245776,232701,245863.5
123,232695,245869,232730,245953
124,232725,245864,232780,246040.5
125,232699,245945,232814,246080
126,232802,246134,232753,245936.75
127,232895,246219,232585,245593.75
128,232860,246022,232351,245166.25
129,232455,245372,232112,244780.5
130,232128,244762,232009,244556.75
131,231961,244509,231977,244475.75
132,231902,244479,231981,244507
133,232043,244477,231988,244526.5
134,232000,244438,231953,244555
135,231977,244634,231993,244642.5
136,231931,244557,232103,244776.75
137,231904,244591,232231,244944.5
138,232159,244788,232322,245089
139,232417,245171,232333,245150.75
140,232444,245228,232294,245154
141,232266,245169,232364,245192.25
142,232203,245035,232483,245327.5
143,232263,245184,232584,245478.25
144,232724,245381,232663,245542.25
145,232743,245710,232624,245532.5
146,232607,245638,232626,245533.5
147,232579,245440,232691,245584
148,232567,245342,232697,245666.75
149,232749,245714,232672,245716
150,232870,245840,232621,245623.25
151,232601,245771,232503,245446.25
152,232467,245539,232462,245239
153,232547,245343,232274,244891.25
154,232396,245132,232059,244576
155,232437,244942,231943,244333.25
156,231715,244148,231835,244197
157,231689,244082,231849,244240.75
158,231931,244161,231869,244273.25
159,232003,244397,231862,244368
160,231771,244323,231869,244445.75
161,231771,244212,231935,244543
162,231901,244540,232016,244708.5
163,232031,244708,232083,244826.25
164,232038,244712,232158,244896
165,232093,244874,232231,244963.25
166,232168,245011,232295,245024
167,232331,244987,232365,245068
168,232332,244981,232386,245125.5
169,232348,245117,232434,245204.5
170,232449,245187,232461,245254.75
171,232413,245217,232472,245299.25
172,232525,245297,232480,245338.5
173,232455,245318,232457,245340.25
174,232496,245365,232473,245371.5
175,232442,245374,232458,245353.75
176,232436,245304,232371,245182.75
177,232517,245443,232234,244905.25
178,232435,245294,232016,244524.75
179,232097,244690,231803,244155.5
180,231885,244194,231666,243937
181,231648,243921,231593,243844
182,231582,243817,231582,243817.5
183,231547,243816,231569,243826
184,231594,243822,231585,243857.75
185,231605,243815,231596,243912
186,231530,243851,231593,243976.75
187,231612,243943,231625,244030
188,231636,244039,231626,244077.75
189,231593,244074,231665,244137.25
